,player,team,club,age_years,age_float,age,minutes_90s,tackles,tackles_won,succesful_tackles_pct,tackles_def_3rd,tackles_mid_3rd,dribble_tackles,dribbled_past,dribbles_vs,dribble_tackles_pct,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_pen_area_pct,touches_def_3rd,touches_mid_3rd,miscontrols,dispossessed,passes_received,passes_completed,passes,passes_pct,passes_progressive_distance,assisted_shots,passes_into_final_third,progressive_passes,passes_dead,through_balls,passes_switches,passes_blocked,cards_yellow,cards_red,fouls,fouled,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,sca_fouled,sca_defense,gca_fouled,gca_defense
44,César Azpilicueta,Spain,Chelsea,33,33.3068,33-112,1.5,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,1,2.0,0.0,0.0,185.0,1.0,0.0054,25.0,136.0,1.0,1.0,149.0,171.0,181.0,94.5,704.0,4.0,13.0,8.0,18.0,1.0,0.0,1.0,0,0,2,0,0.0,0,5.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0
45,César Montes,Mexico,Monterrey,25,25.8137,25-297,3.0,6.0,3,0.5,2.0,4.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,2,8.0,11.0,0.0,222.0,19.0,0.0856,99.0,114.0,2.0,0.0,158.0,159.0,197.0,80.7,957.0,1.0,10.0,8.0,3.0,0.0,3.0,3.0,0,0,4,0,0.0,0,13.0,7.0,5.0,58.3,0.0,0.0,0.0,0.0
46,Daley Blind,Netherlands,Ajax,32,32.7781,32-284,4.7,14.0,9,0.6429,6.0,5.0,6.0,3.0,9.0,66.7,6.0,1.0,5.0,5,19.0,4.0,0.0,339.0,6.0,0.0177,65.0,190.0,2.0,1.0,230.0,252.0,300.0,84.0,1503.0,2.0,25.0,21.0,34.0,0.0,2.0,1.0,0,0,3,1,0.0,0,24.0,5.0,7.0,41.7,0.0,0.0,0.0,0.0
47,Dani Alves,Brazil,UNAM,39,39.6192,39-226,1.3,5.0,4,0.8,2.0,2.0,2.0,3.0,5.0,40.0,1.0,1.0,0.0,2,7.0,2.0,0.0,113.0,4.0,0.0354,22.0,60.0,1.0,2.0,71.0,83.0,97.0,85.6,429.0,0.0,7.0,5.0,15.0,0.0,0.0,0.0,0,0,5,2,0.0,0,9.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
48,Dani Carvajal,Spain,Real Madrid,30,30.9342,30-341,1.5,1.0,1,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2,3.0,1.0,0.0,137.0,3.0,0.0219,32.0,82.0,1.0,0.0,91.0,121.0,135.0,89.6,425.0,0.0,9.0,3.0,26.0,0.0,0.0,4.0,0,0,0,1,0.0,0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,Daniel Amartey,Ghana,Leicester City,27,27.9918,27-362,2.8,6.0,4,0.6667,5.0,1.0,2.0,0.0,2.0,100.0,4.0,3.0,1.0,3,9.0,12.0,0.0,172.0,25.0,0.1453,102.0,67.0,0.0,1.0,118.0,128.0,141.0,90.8,1088.0,3.0,10.0,8.0,5.0,0.0,1.0,3.0,2,0,3,1,0.0,0,15.0,5.0,4.0,55.6,0.0,0.0,0.0,0.0
50,Danilo,Brazil,Juventus,31,31.4274,31-156,3.1,5.0,2,0.4,2.0,2.0,2.0,1.0,3.0,66.7,2.0,1.0,1.0,3,8.0,5.0,1.0,289.0,10.0,0.0346,69.0,177.0,2.0,1.0,214.0,230.0,269.0,85.5,986.0,0.0,21.0,16.0,23.0,0.0,2.0,2.0,1,0,3,1,0.0,0,17.0,4.0,1.0,80.0,0.0,0.0,0.0,0.0
51,Danilo Pereira,Portugal,Paris S-G,31,31.274,31-100,1.0,2.0,2,1.0,1.0,1.0,2.0,0.0,2.0,100.0,1.0,1.0,0.0,3,5.0,3.0,1.0,87.0,8.0,0.092,43.0,44.0,1.0,1.0,65.0,68.0,78.0,87.2,488.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,1,0,1,2,0.0,0,4.0,5.0,1.0,83.3,0.0,0.0,0.0,0.0
52,Darko Lazović,Serbia,Hellas Verona,32,32.2575,32-094,0.3,0.0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,7.0,1.0,0.0,8.0,7.0,12.0,58.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
53,David Raum,Germany,RB Leipzig,24,24.6575,24-240,2.7,6.0,3,0.5,4.0,1.0,3.0,3.0,6.0,50.0,10.0,1.0,9.0,7,13.0,2.0,0.0,229.0,4.0,0.0175,49.0,85.0,5.0,3.0,138.0,153.0,195.0,78.5,741.0,7.0,9.0,13.0,40.0,0.0,1.0,3.0,0,0,5,3,0.0,0,12.0,5.0,3.0,62.5,1.0,0.0,1.0,0.0
